DateTime,TSLA,HMC,HYMTF,CVX,TM,F,^GSPC,Sales,prediction_1,prediction_2,prediction_3
2014-08-31,17.979999542236328,28.240028381347656,73.0,89.9374771118164,106.3274917602539,11.44604778289795,2003.3699951171875,8339.0,8339.0,8248.066531056025,8320.457142857143
2014-09-30,16.178667068481445,28.5622615814209,56.349998474121094,82.89950561523438,110.48719787597656,9.723552703857422,1972.2900390625,8488.0,8488.0,8298.426594340848,8326.914285714285
2014-10-31,16.113332748413086,26.762535095214844,57.70000076293945,83.33719635009766,114.07829284667969,9.345849990844727,2018.050048828125,8424.0,8424.0,8386.675396774597,8415.333333333334
2014-11-30,16.301332473754883,25.26276969909668,55.560001373291016,76.34065246582031,115.75163269042969,10.433652877807617,2067.56005859375,8225.0,8225.0,8559.209911351905,8370.4
2014-12-31,14.827333450317383,24.726470947265625,56.75,78.6616439819336,117.9608154296875,10.281094551086426,2058.89990234375,8494.0,8494.0,8195.939026256081,8368.69696969697
2015-01-31,13.573332786560059,25.31279945373535,53.04999923706055,71.89498901367188,121.12887573242188,9.856654167175293,1994.989990234375,7942.0,7942.0,8584.135781086896,8130.636363636364
2015-02-28,13.555999755859375,27.758649826049805,48.95000076293945,75.5399398803711,127.2581787109375,10.948859214782715,2104.5,8091.0,8091.0,8358.386051213376,8167.823529411765
2015-03-31,12.584667205810547,27.5704345703125,49.5,74.3361587524414,133.38255310058594,10.814846992492676,2067.889892578125,8069.0,8069.0,8102.524650458756,8167.823529411765
2015-04-30,15.069999694824219,28.218461990356445,56.0,78.64139556884766,132.5530242919922,10.686838150024414,2085.510009765625,8407.0,8407.0,8176.555259727213,8326.914285714285
2015-05-31,16.719999313354492,28.799158096313477,52.25,73.660888671875,131.47560119628906,10.26071834564209,2107.389892578125,8372.0,8372.0,8381.391517050402,8368.69696969697
2015-06-30,17.884000778198242,27.26746940612793,46.29999923706055,68.99093627929688,127.5281753540039,10.152494430541992,2063.110107421875,8529.0,8529.0,8394.3745219002,8734.818181818182
2015-07-31,17.74333381652832,28.58034896850586,43.20000076293945,63.27685546875,127.25167846679688,10.133241653442383,2103.840087890625,8657.0,8657.0,8580.783412416715,8855.266666666666
2015-08-31,16.604000091552734,26.493207931518555,39.599998474121094,58.65013122558594,112.87316131591797,9.477279663085938,1972.1800537109375,8783.0,8783.0,8602.453468730197,8908.379310344828
2015-09-30,16.559999465942383,25.295330047607422,44.900001525878906,57.12215042114258,113.38188934326172,9.272290229797363,1920.030029296875,8806.0,8806.0,8722.526597717404,8916.127659574468
2015-10-31,13.795332908630371,28.027904510498047,47.45000076293945,65.8121337890625,118.54440307617188,10.222556114196777,2079.360107421875,8842.0,8842.0,8782.91715027666,8904.529411764706
2015-11-30,15.350666999816895,27.647201538085938,48.5,66.9384536743164,120.2845687866211,9.89123821258545,2080.409912109375,9095.0,9095.0,8845.354751599905,8910.9
2015-12-31,16.000667572021484,27.012704849243164,43.150001525878906,65.9415512084961,118.950439453125,9.725577354431152,2043.93994140625,8954.0,8954.0,8808.266076564163,8871.0
2016-01-31,12.74666690826416,22.858856201171875,39.099998474121094,63.38334655761719,116.04048919677734,8.519508361816406,1940.239990234375,9214.0,9214.0,9073.786288524785,9089.56862745098
2016-02-29,12.795332908630371,21.75059700012207,41.130001068115234,61.938079833984375,100.63996124267578,8.926219940185547,1932.22998046875,9370.0,9370.0,9129.327588387256,9108.57142857143
2016-03-31,15.317999839782715,23.28662109375,45.790000915527344,70.81610107421875,104.72771453857422,9.632610321044922,2059.739990234375,8914.0,8914.0,9246.8497811224,8868.5
2016-04-30,16.05066680908203,22.96295738220215,42.599998474121094,75.84893035888672,100.1769027709961,9.782136917114258,2065.300048828125,8809.0,8809.0,9221.616040584344,8839.695652173914
2016-05-31,14.881999969482422,23.831735610961914,40.70000076293945,75.76554870605469,101.8613052368164,9.731639862060547,2096.949951171875,8508.0,8508.0,8990.10756272372,8698.40625
2016-06-30,14.152000427246094,21.738065719604492,40.029998779296875,78.63864135742188,98.49251556396484,9.067953109741211,2098.860107421875,8893.0,8893.0,8811.182671545172,8886.771428571428
2016-07-31,15.652667045593262,23.274229049682617,42.75,76.87576293945312,109.92864227294922,9.23301887512207,2173.60009765625,8869.0,8869.0,8829.144642680058,8910.9
2016-08-31,14.133999824523926,26.44096565246582,42.279998779296875,76.24546813964844,118.82340240478516,9.189262390136719,2170.949951171875,8844.0,8844.0,8899.348628705407,8930.521739130434
2016-09-30,13.60200023651123,24.965177536010742,45.599998474121094,78.01932525634766,116.05999755859375,8.802728652954102,2168.27001953125,9121.0,9121.0,8855.183379765325,9089.56862745098
2016-10-31,13.182000160217285,25.750736236572266,41.20000076293945,79.40657043457031,115.66000366210938,8.66872787475586,2126.14990234375,9135.0,9135.0,8984.063024916599,9065.038461538461
2016-11-30,12.626667022705078,25.67304229736328,38.0,85.41558837890625,118.52999877929688,8.831177711486816,2198.81005859375,9613.0,9613.0,9282.372331747098,9558.05
2016-12-31,14.246000289916992,25.357742309570312,41.0,90.11666107177734,117.19999694824219,8.956701278686523,2238.830078125,9272.0,9272.0,9182.830947701501,9547.307692307691
2017-01-31,16.795333862304688,25.818157196044922,41.25,85.25479888916016,115.75,9.273613929748535,2278.8701171875,9763.0,9763.0,9600.168864025683,9598.434782608696
2017-02-28,16.666000366210938,26.9040470123291,42.20000076293945,86.95977783203125,113.1500015258789,9.401165962219238,2363.639892578125,9378.0,9378.0,9672.265703867804,9558.05
